       p         nwds        bytes        nloop         RTT (s)
       1          251         2008          395    7.472559e-06
       1          256         2048          387    7.425902e-06
       1          261         2088          380    7.527997e-06
       1          266         2128          373    7.541740e-06
       1          271         2168          366    7.560937e-06
       1          276         2208          359    7.656763e-06
       1          281         2248          353    7.861011e-06
       1          286         2288          347    7.853121e-06
       1          291         2328          341    7.929630e-06
       1          296         2368          335    7.901301e-06
       1          301         2408          330    7.985285e-06
       1          306         2448          324    8.037673e-06
       1          311         2488          319    8.029671e-06
       1          316         2528          314    8.072787e-06
       1          322         2576          308    8.081425e-06
       1          328         2624          303    8.113238e-06
       1          334         2672          297    8.123990e-06
       1          340         2720          292    8.232428e-06
       1          346         2768          287    8.233557e-06
       1          352         2816          282    8.373504e-06
       1          358         2864          277    8.379939e-06
       1          364         2912          273    8.417579e-06
       1          370         2960          268    8.534549e-06
       1          376         3008          264    8.507083e-06
       1          383         3064          259    8.586950e-06
       1          390         3120          255    8.666208e-06
       1          397         3176          250    8.739340e-06
       1          404         3232          246    8.782850e-06
       1          411         3288          242    8.893446e-06
       1          418         3344          238    8.928752e-06
       1          425         3400          234    8.983120e-06
       1          432         3456          230    9.029530e-06
       1          439         3512          226    9.094301e-06
       1          447         3576          222    9.170793e-06
       1          455         3640          218    9.301005e-06
       1          463         3704          215    9.357442e-06
       1          471         3768          211    9.464033e-06
       1          479         3832          207    9.483275e-06
       1          487         3896          204    9.599799e-06
       1          495         3960          201    9.663627e-06
       1          503         4024          198    9.751753e-06
       1          512         4096          194    9.917701e-06
       1          521         4168          191    9.970560e-06
       1          530         4240          187    1.000634e-05
       1          539         4312          184    1.007833e-05
       1          548         4384          181    1.031739e-05
       1          557         4456          178    1.032304e-05
       1          566         4528          176    1.032820e-05
       1          576         4608          173    1.032894e-05
       1          586         4688          170    1.047043e-05
       1          596         4768          167    1.052048e-05
       1          606         4848          164    1.059032e-05
       1          616         4928          161    1.084851e-05
       1          626         5008          159    1.078660e-05
       1          637         5096          156    1.075995e-05
       1          648         5184          153    1.089798e-05
       1          659         5272          151    1.100816e-05
       1          670         5360          148    1.111898e-05
       1          681         5448          146    1.115210e-05
       1          692         5536          144    1.130762e-05
       1          704         5632          141    1.137980e-05
       1          716         5728          139    1.148099e-05
       1          728         5824          136    1.149091e-05
       1          740         5920          134    1.161427e-05
       1          752         6016          132    1.175510e-05
       1          765         6120          130    1.188662e-05
       1          778         6224          128    1.191995e-05
       1          791         6328          126    1.203672e-05
       1          804         6432          124    1.226819e-05
       1          817         6536          122    1.232107e-05
       1          831         6648          120    1.237657e-05
       1          845         6760          118    1.246416e-05
       1          859         6872          116    1.263267e-05
       1          873         6984          114    1.279779e-05
